ts,query,action,confidence,reasons,top_chunk_id,top_cosine,top_crossencoder,top_len
2025-09-05T10:54:17,what is closed book question answering?,answer_from_top,7.007802963256836,label=high | sim_band=high | sep_band=high | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-05T14:35:39,limitations?,clarify_or_broaden,-10.418878555297852,label=low | sim_band=low | sep_band=high | path=FAISS→CE→Low→(FAISS∪BM25)→CE,25,0.27468496561050415,-10.418878555297852,360
2025-09-08T11:05:33,what is closed book question answering?,answer_from_top,7.007802963256836,label=high | sim_band=high | sep_band=high | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-08T11:09:59,what is closed book question answering?,answer_from_top,7.007802963256836,label=high | sim_band=high | sep_band=high | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-08T12:14:17,what is closed book question answering?,answer_from_top,7.007802963256836,label=high | sim_band=high | sep_band=high | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-08T12:41:16,In which Country is Bangkok?,clarify_or_broaden,-11.171228408813477,label=low | sim_band=low | sep_band=high | path=FAISS→CE→Low→(FAISS∪BM25)→CE,64,0.13450536131858826,-11.171228408813477,390
2025-09-08T14:51:47,what is closed book question answering?,offer_choice,7.007802963256836,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-08T15:00:10,tell me a joke,clarify_or_broaden,-11.120750427246094,label=low | sim_band=low | sep_band=low | path=FAISS→CE→Low→(FAISS∪BM25)→CE,73,0.09370162338018417,-11.120750427246094,158
2025-09-09T11:46:14,what is closed book question answering?,offer_choice,7.007802963256836,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-09T11:58:41,what is a closed book question answering system?,offer_choice,6.904649257659912,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,6,0.7817686796188354,6.904649257659912,269
2025-09-09T11:59:14,what is question answering?,offer_choice,5.89410400390625,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.756196141242981,5.89410400390625,576
2025-09-09T12:08:15,what is a closed book question answering system?,offer_choice,6.904649257659912,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,6,0.7817686796188354,6.904649257659912,269
2025-09-09T12:09:16,what is the capital of France?,clarify_or_broaden,-10.477394104003906,label=low | sim_band=low | sep_band=low | path=FAISS→CE→Low→(FAISS∪BM25)→CE,73,0.1356988549232483,-10.477394104003906,158
2025-09-09T12:09:16,what is the capital of France?,clarify_or_broaden,-10.477394104003906,label=low | sim_band=low | sep_band=low | path=FAISS→CE→Low→(FAISS∪BM25)→CE,73,0.1356988549232483,-10.477394104003906,158
2025-09-09T12:24:12,what is a closed book question answering system?,offer_choice,6.904649257659912,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,6,0.7817686796188354,6.904649257659912,269
2025-09-09T14:23:52,What is closed-book question answering?,offer_choice,6.983383655548096,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,1.0,6.983383655548096,302
2025-09-09T14:53:01,What is closed-book question answering?,offer_choice,6.983383655548096,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,1.0,6.983383655548096,302
2025-09-10T10:07:38,What is closed-book question answering?,offer_choice,6.983383655548096,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,1.0,6.983383655548096,302
2025-09-10T10:57:03,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T10:58:00,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T10:58:02,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T10:58:03,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T10:58:03,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T10:58:23,what is a closed book question answering system?,offer_choice,6.904649257659912,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,6,0.7817686796188354,6.904649257659912,269
2025-09-10T11:11:16,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T11:20:29,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T11:21:14,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T12:01:03,what is closed book question answering?,offer_choice,7.007802963256836,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-10T12:01:32,what is closed book question answering?,offer_choice,7.007802963256836,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,5,0.9764881134033203,7.007802963256836,302
2025-09-10T12:03:52,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T12:04:04,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T12:54:51,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T14:13:37,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T14:43:27,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T15:11:11,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
2025-09-10T15:59:33,what is a question answering system?,offer_choice,6.354790687561035,label=medium | sim_band=high | sep_band=low | path=FAISS→CE,0,0.7321218252182007,6.354790687561035,576
