question,oracle_sentence_ids,oracle_span,ecosearch_chunk_indices,ecosearch_chunk_text,overlap
What is question answering in computer science?,[],,[],,NONE
What are common data sources used in question answering?,[],,[],,NONE
What types of questions can QA systems handle?,[],,[],,NONE
What is closed-book question answering?,[],,[],,NONE
How does closed-domain QA differ from open-domain QA?,[],,[],,NONE
What are the main technical types of QA systems?,[],,[],,NONE
What was the LUNAR system designed to do?,[],,[],,NONE
Who developed SHRDLU?,[],,[],,NONE
What was the Unix Consultant system?,[],,[],,NONE
What is the role of a question classifier?,[],,[],,NONE
How does a retriever-reader architecture work?,[],,[],,NONE
What benefits does data redundancy offer in QA?,[],,[],,NONE
What is MathQA?,[],,[],,NONE
What is the ARQMath Task?,[],,[],,NONE
What are the applications of QA systems?,[],,[],,NONE
What is answer type detection in QA?,[],,[],,NONE
What is the function of a named-entity recogniser in QA?,[],,[],,NONE
How does a vector space model help in QA?,[],,[],,NONE
What role did Watson play in QA history?,[],,[],,NONE
What are current research topics in QA?,[],,[],,NONE
